value,valueUnc,year
7.993,2.4179999999999997,1750
5.917,2.08075,1751
8.727,3.0686666666666667,1752
8.388,3.176,1753
8.469,3.4942500000000005,1754
8.356,3.850333333333333,1755
8.85,3.2623333333333338,1756
9.022,4.026000000000001,1757
6.744,3.362916666666667,1758
7.985,3.6789166666666664,1759
7.185,3.0889166666666665,1760
8.772,3.144833333333333,1761
8.607,3.5242500000000003,1762
7.497,3.151583333333333,1763
8.4,2.77525,1764
8.252,2.4277500000000005,1765
8.406,2.8358333333333334,1766
8.222,2.962666666666667,1767
6.781,2.266,1768
7.695,2.410083333333333,1769
7.692,2.780666666666667,1770
7.853,2.604583333333333,1771
8.194,2.463833333333333,1772
8.222,2.36075,1773
8.772,3.4151666666666665,1774
9.183,2.320583333333333,1775
8.304,2.864166666666667,1776
8.256,2.442833333333333,1777
8.542,2.8725,1778
8.983,2.5058333333333334,1779
9.433,2.5848333333333335,1780
8.103,2.5038333333333336,1781
7.901,2.5505833333333334,1782
7.681,2.4944166666666665,1783
7.862,2.2556666666666665,1784
7.363,2.2395,1785
8.258,2.5254166666666666,1786
8.032,2.3617500000000002,1787
8.447,2.5578333333333334,1788
8.334,1.8686666666666667,1789
7.982,1.7716666666666667,1790
8.234,1.7837500000000002,1791
8.089,1.7004166666666667,1792
8.229,2.2744166666666663,1793
8.526,1.9789999999999999,1794
8.35,2.0433333333333334,1795
8.271,1.9206666666666667,1796
8.511,2.045666666666667,1797
8.67,1.9033333333333335,1798
8.506,1.7384166666666667,1799
8.484,1.7186666666666668,1800
8.59,1.5816666666666668,1801
8.578,1.8490000000000002,1802
8.503,1.6331666666666667,1803
8.845,1.8418333333333337,1804
8.563,1.6889166666666666,1805
8.434,1.5700833333333335,1806
8.281,1.59225,1807
7.627,1.996833333333333,1808
7.076,2.1354166666666665,1809
6.923,2.3109999999999995,1810
6.86,2.0957500000000002,1811
7.046,2.135583333333333,1812
7.74,1.7088333333333334,1813
7.592,2.1685000000000003,1814
7.239,1.9665,1815
6.938,2.1929166666666666,1816
6.976,1.7083333333333333,1817
7.829,1.8290833333333334,1818
7.369,1.5819166666666666,1819
7.616,1.6187500000000004,1820
8.09,1.3758333333333332,1821
8.188,1.37525,1822
7.719,1.3622500000000002,1823
8.547,1.4478333333333335,1824
8.389,1.5078333333333331,1825
8.357,1.5595833333333333,1826
8.809,1.4435833333333334,1827
8.165,1.6484166666666666,1828
7.942,1.31975,1829
8.517,1.4314166666666666,1830
7.639,1.5315,1831
7.45,1.5404166666666665,1832
8.013,1.2335,1833
8.147,1.1522499999999998,1834
7.392,1.2753333333333334,1835
7.696,1.1694166666666665,1836
7.376,1.2909166666666667,1837
7.515,1.1623333333333334,1838
7.632,1.1794166666666668,1839
7.796,0.9911666666666665,1840
7.688,0.952,1841
8.023,0.8975,1842
8.174,0.7498333333333332,1843
7.646,0.926,1844
7.851,0.8815,1845
8.553,1.05175,1846
8.086,0.9006666666666666,1847
7.98,0.8713333333333333,1848
7.984,0.9135833333333334,1849
7.901,0.8764166666666666,1850
8.179,0.8819166666666667,1851
8.1,0.91825,1852
8.042,0.835,1853
8.21,0.8256666666666667,1854
8.111,0.8871666666666668,1855
7.996,0.7607499999999999,1856
7.758,0.7510833333333333,1857
8.1,0.69975,1858
8.252,0.6746666666666666,1859
7.961,0.626,1860
7.847,0.6534166666666668,1861
7.559,0.6889166666666666,1862
8.112,0.7479999999999999,1863
7.984,0.6764166666666668,1864
8.178,0.6621666666666667,1865
8.292,0.6060000000000002,1866
8.436,0.6348333333333332,1867
8.248,0.5463333333333333,1868
8.432,0.5956666666666667,1869
8.201,0.5501666666666666,1870
8.115,0.57025,1871
8.194,0.5890833333333335,1872
8.351,0.5505,1873
8.434,0.5179166666666667,1874
7.86,0.4515,1875
8.08,0.43349999999999994,1876
8.54,0.4559166666666666,1877
8.83,0.42491666666666666,1878
8.166,0.46341666666666675,1879
8.119,0.41491666666666677,1880
8.271,0.4193333333333334,1881
8.129,0.3799166666666666,1882
7.977,0.3706666666666667,1883
7.774,0.39625,1884
7.92,0.425,1885
7.954,0.38599999999999995,1886
7.915,0.39208333333333334,1887
8.091,0.3824166666666666,1888
8.319,0.3698333333333334,1889
7.972,0.34299999999999997,1890
8.019,0.3353333333333334,1891
8.066,0.33883333333333326,1892
8.057,0.34525000000000006,1893
8.161,0.31725,1894
8.147,0.29924999999999996,1895
8.215,0.30883333333333335,1896
8.293,0.31383333333333335,1897
8.178,0.3256666666666667,1898
8.396,0.32475000000000004,1899
8.502,0.31475000000000003,1900
8.542,0.30624999999999997,1901
8.304,0.29275,1902
8.22,0.29,1903
8.091,0.2864166666666667,1904
8.225,0.27875,1905
8.379,0.27491666666666664,1906
7.947,0.2571666666666666,1907
8.186,0.27475,1908
8.178,0.26275,1909
8.223,0.26008333333333333,1910
8.177,0.24783333333333338,1911
8.165,0.2584166666666667,1912
8.298,0.26225000000000004,1913
8.591,0.2519166666666666,1914
8.593,0.24616666666666667,1915
8.225,0.26041666666666663,1916
8.023,0.26066666666666666,1917
8.131,0.26825000000000004,1918
8.382,0.26675,1919
8.359,0.2626666666666667,1920
8.571,0.2568333333333334,1921
8.408,0.25858333333333333,1922
8.422,0.2530833333333334,1923
8.507,0.25683333333333336,1924
8.534,0.24075,1925
8.729,0.2426666666666667,1926
8.522,0.2489166666666667,1927
8.632,0.2485833333333333,1928
8.242,0.25175,1929
8.634,0.23966666666666667,1930
8.719,0.23775,1931
8.705,0.2489166666666667,1932
8.338,0.2426666666666667,1933
8.628,0.24008333333333334,1934
8.516,0.23591666666666666,1935
8.554,0.2430833333333334,1936
8.698,0.24008333333333332,1937
8.864,0.24050000000000002,1938
8.76,0.2373333333333333,1939
8.765,0.23108333333333334,1940
8.769,0.22783333333333336,1941
8.728,0.2295,1942
8.755,0.22658333333333336,1943
8.845,0.22516666666666665,1944
8.585,0.2203333333333333,1945
8.677,0.22241666666666662,1946
8.797,0.21708333333333332,1947
8.747,0.20958333333333332,1948
8.587,0.20825000000000002,1949
8.365,0.18633333333333335,1950
8.626,0.18416666666666667,1951
8.638,0.20875000000000002,1952
8.874,0.21208333333333332,1953
8.561,0.18716666666666668,1954
8.626,0.15358333333333332,1955
8.28,0.1208333333333333,1956
8.732,0.158,1957
8.774,0.10433333333333333,1958
8.733,0.10716666666666665,1959
8.584,0.09349999999999999,1960
8.798,0.09699999999999999,1961
8.746,0.13291666666666666,1962
8.856,0.09233333333333334,1963
8.41,0.09250000000000001,1964
8.527,0.10883333333333334,1965
8.599,0.09225,1966
8.7,0.08366666666666667,1967
8.516,0.11166666666666668,1968
8.595,0.08516666666666667,1969
8.701,0.07558333333333332,1970
8.599,0.09791666666666667,1971
8.5,0.09533333333333334,1972
8.948,0.10074999999999999,1973
8.467,0.1045,1974
8.745,0.09708333333333334,1975
8.347,0.10058333333333336,1976
8.85,0.08466666666666665,1977
8.693,0.10383333333333335,1978
8.733,0.08641666666666666,1979
8.98,0.10666666666666667,1980
9.166,0.08725000000000001,1981
8.639,0.08266666666666665,1982
9.028,0.09399999999999999,1983
8.692,0.10258333333333336,1984
8.658,0.09324999999999999,1985
8.834,0.085,1986
8.994,0.08516666666666667,1987
9.202,0.08008333333333334,1988
8.922,0.08800000000000001,1989
9.234,0.08633333333333333,1990
9.179,0.06208333333333335,1991
8.837,0.08333333333333333,1992
8.867,0.08133333333333333,1993
9.039,0.07091666666666667,1994
9.347,0.07641666666666666,1995
9.039,0.08474999999999999,1996
9.203,0.08858333333333335,1997
9.523,0.07391666666666667,1998
9.285,0.07925,1999
9.201,0.0835,2000
9.415,0.08741666666666664,2001
9.57,0.07241666666666667,2002
9.526,0.09066666666666666,2003
9.325,0.08341666666666665,2004
9.701,0.07516666666666667,2005
9.532,0.08999999999999998,2006
9.732,0.08949999999999998,2007
9.432,0.07891666666666665,2008
9.505,0.08591666666666666,2009
9.703,0.08341666666666668,2010
9.516,0.08199999999999999,2011
9.507,0.08341666666666665,2012
9.607,0.09766666666666667,2013
9.571,0.09016666666666666,2014
